age;time_to_maturity;balance;LTV;interest_rate;SingleFamily;balance_orig;FICO_orig;LTV_orig;Interest_Rate_orig;Default
4;117;141750;88.51950355;6.5;1;141750;744;75;6.5;0
14;106;57800.1;111.0539446;8.375;1;60000;698;80;8.375;1
52;9;4696.44;13.94639497;10.95;1;15600;521;74.3;10.95;0
8;112;159914.04;81.47550052;5.51;0;160000;732;80;5.51;0
1;116;131296.19;80.54311459;8.75;1;132000;721;80;8.75;0
1;116;276003.18;75.21455724;3.625;1;280000;663;80;3.625;0
9;110;322436.16;64.83130165;4.75;1;334400;764;80;0;0
26;94;177934.04;72.42899905;5.95;1;195000;759;79.6;5.95;1
18;42;159826.97;45.35573602;6;1;199000;644;75.7;6;0
14;104;121012.5;114.3672367;5.625;0;121133;755;80;5.625;1
8;112;52971.66;64.16069284;6.5;1;54000;713;90;6.5;0
5;116;1849597.75;77.53047912;6.75;0;1850000;677;64.9;NA;0
6;155;204755.85;114.6577903;8.147;1;197780;670;89.9;2.375;1
27;93;376881.67;81.80794119;5.625;1;444800;685;80;0;0
12;109;255199.7;43.29643229;6;0;271000;779;69.5;6;0
57;63;27355.93;24.00413456;3.62;1;36847;642;59.2;3.62;0
17;104;332281.21;122.4173651;2;1;320000;674;80;2;0
10;110;255925.6;83.24086313;10.48;1;256000;699;80;7.48;1
22;98;384000;121.0268753;3;1;384000;754;80;6.5;1
25;95;81013.88;112.9330243;9.75;1;81899.09;588;90;9.75;0
7;153;623612.21;115.7727308;6.729;1;584000;728;80;1.9;1
18;102;128141.51;106.3631407;7.5;0;131250;735;75;10.75;1
5;109;517983.24;90.30883933;10.5;1;518000;655;84.9;0;1
3;157;324905.94;79.16707711;8.183;0;318750;687;75;1.4;0
21;99;538458.32;137.4234999;2.36;1;-9999999;733;80;0;0
32;88;112000;88.52935252;3.125;1;112000;630;74.7;6.625;0
5;113;65064.89;94.81019908;9.95;0;65600;520;80;9.95;1
17;104;427120.52;128.9009239;8.25;1;376000;686;80;8.25;0
19;101;642120.94;86.82167102;5.75;1;650000;773;65.3;5.75;0
9;111;245989.53;85.30515937;12;0;249200;505;80;9.05;1
4;117;69605.64;85.43475533;7.875;1;70000;689;100;7.875;0
8;110;299614.92;102.8977042;7.625;0;299625;681;75;7.625;1
19;101;590904.71;112.7307117;6.125;0;628800;802;80;6.125;0
10;110;212000;83.26506204;7.375;1;212000;645;80;7.375;1
18;102;68566.58;106.7680796;8.125;1;71400;671;80;8.125;0
5;36;87788.36;65.30405339;6.625;1;93500;696;81.3;6.625;0
13;107;135877.37;107.1038068;9.75;0;140000;602;100;0;1
44;16;16331;20.09688186;10.55;1;35625;662;75;10.55;0
4;117;508625.28;81.45788322;5.875;1;508800;681;80;5.875;0
34;26;34733.02;47.99181937;6;1;62000;672;77.5;6;0
22;99;89503.64;110.9451317;9.375;1;92800;655;80;9.5;0
7;114;107214.04;87.98177054;6.75;0;108700;785;80;6.75;0
37;83;48863.06;69.86502191;6.75;1;56000;712;80;6.75;0
10;108;345362;130.5876778;7.875;0;353700;735;90;7.875;1
23;97;84918.13;109.3820844;10.2;1;86250;511;71.9;0;0
3;117;455325.67;82.28902034;8.45;1;456000;727;80;8.45;1
40;80;159634.18;51.02278114;3.014;1;217000;624;69.9;0;0
4;116;342900;77.32691755;7.25;0;342900;743;90;0;0
15;105;69728.2;107.6831312;7.275;1;72400;601;80;7.275;0
7;112;280000;83.45226343;6.5;1;280000;655;80;6.5;0
4;117;547171.5;72.49587768;6.375;1;550800;735;70.1;6.375;0
4;116;722863.84;80.56521961;6.875;1;729150;765;76.8;6.875;0
15;105;230748.52;93.68867234;8.99;1;233000;544;67.2;8.99;1
20;101;545834.16;106.3864446;6.875;0;575000;666;76.7;6.875;1
29;91;138590.43;95.41669967;2.875;1;159125;799;95;6.5;0
14;106;219364.72;110.9044705;7.49;0;226400;726;80;7.49;0
20;100;102139.23;105.1210314;6.9;1;107100;528;85;6.9;0
16;105;99289.36;28.06165865;5.75;0;275000;638;59.1;5.75;0
2;119;167622.66;74.82893845;5.375;1;168000;654;80;0;0
28;92;114926.2;122.8087752;2.576;1;103960;583;80;2.576;0
20;100;233961.85;33.72308707;6;1;250000;785;55.3;6;0
31;90;91908.4;88.41273863;7.98;0;1.00E+05;667;80;7.98;0
5;112;915414.77;93.35084953;7.025;1;-9999999;690;80;1;0
25;96;121097.88;118.6420246;5.625;1;125290;532;85;5.625;0
8;113;91217.99;99.43120337;9.08;1;92000;558;80;9.08;1
3;117;347921.42;47.67484723;6.25;1;350000;628;53.4;6.25;0
18;102;203988.32;116.0097635;8.125;0;204000;773;80;8.125;1
4;116;241568.4;77.02946162;6.3;1;241600;620;80;6.3;1
10;111;294976.68;114.6611367;5;0;284750;673;80;7;0
17;103;360759.54;125.4033912;6.5;1;332000;597;80;0;1
18;100;99109.55;113.8553513;8;0;1.00E+05;789;80;8;0
20;100;505899.03;136.7548959;7.625;1;440000;719;80;NA;0
19;99;143882.1;91.88264665;4;1;150500;506;70;0;1
16;104;474479.83;104.1201347;6;1;5.00E+05;733;78.2;6;0
1;119;162750;98.58917626;7;0;162750;666;93;7;0
5;116;110140.55;70.08528308;7.15;1;110400;664;79.8;7.15;0
11;109;414221.46;92.97210539;5.99;0;428000;781;80;5.99;0
23;97;299114.18;67.18167527;5.5;0;330000;767;75;5.5;0
10;105;203765.5;111.5577161;5.625;0;204000;710;80;5.625;0
14;106;153100;112.7417018;6.5;0;153100;712;80;6.5;0
31;90;586104.06;88.07505018;3.5;0;664000;639;80;6.875;0
7;114;197193.07;95.90118163;6.875;1;2.00E+05;643;80;6.875;0
5;116;40219.91;70.25706957;8;1;40500;534;88;8;0
29;92;355422.77;86.82339151;2;1;437000;568;84.9;8.55;0
5;116;123649.29;80.58719735;8.15;1;124000;618;80;8.15;0
23;98;259817.85;95.04889221;3.375;0;260000;690;80;6;0
16;104;123200;105.2072881;5.75;1;123200;687;80;5.75;0
3;118;223900;83.63277394;7.375;1;223900;703;80;7.375;0
6;114;75153.58;79.17827353;8.8;1;75600;569;90;8.8;1
4;116;127819.77;75.11899651;6.99;1;129020;658;90;6.99;0
21;99;70002.75;70.70461284;6.25;1;75000;776;64.1;6.25;0
11;109;360000;60.40199649;4;0;360000;685;80;4;0
3;111;317552.27;70.63384518;6.875;1;317600;753;80;0;0
12;149;139414.79;103.3492642;4.722;1;127000;680;63.8;1.4;1
21;100;260330.04;103.5106863;6.5;1;277000;755;74.9;6.5;1
35;85;89737.03;105.9411769;6.875;0;101000;621;100;6.875;1
1;116;482085.94;92.94486528;7.882;0;472500;685;90;1;0
23;98;30353.01;41.68748597;10;0;31526.28;644;90.7;10;0
14;106;647025.99;126.8501352;8.25;0;655000;776;93;8.25;1
29;91;420039.99;84.50372781;6.5;1;5.00E+05;756;80;6.5;0
2;119;170100;68.64510142;7.625;0;170100;714;70;7.625;0
11;110;345600;119.5088461;6.875;1;345600;667;80;6.875;1
5;115;333700;66.45576585;5.75;0;333700;702;78.9;5.75;0
12;109;170072.71;130.1356505;11.75;0;163354;553;91.3;10.625;1
39;80;439194.25;70.28432762;3;1;508000;725;80;5.875;0
4;116;171224.11;81.11828337;8.3;0;172000;649;80;8.3;1
7;113;176709.01;107.7777634;7.5;0;177760;597;80;3;0
24;97;167440.53;121.4219166;6.35;1;159800;552;85;6.35;0
6;114;680000;112.3475046;6.625;0;680000;808;80;6.625;0
17;96;525670.9;110.6477403;3.25;1;539920;766;80;4.875;0
4;111;248172.25;82.01785771;8.25;1;252000;666;80;8.25;0
20;60;32313.03;45.27647037;9.625;0;37014.32;753;95;0;0
4;116;360000;71.22592179;5.5;1;360000;652;80;5.5;0
9;111;91202.79;77.19277763;8.2;1;92800;636;80;8.2;0
14;46;127955.73;32.61243369;4.75;1;152465;652;54.8;4.75;0
1;118;413780.54;72.82816762;6.375;1;416250;750;75;6.375;0
